"Name","Avg MVP","MVP/m","Total MVP","Accuracy","Hit Diff","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate","MVP","Accuracy","Win Rate"
"Prop Master","9.33","0.65","18.65","31.46","0.71","100% (2/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","9.33","31.46","100% (2/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Man of Ghost","9.2","0.67","165.59","54.83","0.72","44% (8/18)","11.25","59.74","25% (1/4)","11.24","68.63","100% (1/1)","7.29","38.77","44% (4/9)","10.85","80.21","50% (1/2)","11","84.99","50% (1/2)"
"Kingsley","9.17","0.8","385.26","61.9","0.6","38% (16/42)","9.57","62.58","17% (1/6)","7.46","68.61","0% (0/5)","7.81","43.53","47% (9/19)","11.69","84.8","60% (3/5)","11.97","90.02","43% (3/7)"
"FatKid","9.15","1.6","649.31","64.14","0.71","44% (31/71)","8.4","60","0% (0/10)","7.58","67.57","40% (2/5)","9.74","54.73","53% (19/36)","7.83","80.05","30% (3/10)","9.85","84.52","70% (7/10)"
"Lethalreflex","9.15","0.73","256.17","60.47","0.6","54% (15/28)","12.57","59.1","67% (2/3)","6.3","73.05","75% (3/4)","9.5","45.5","50% (7/14)","8.66","81.35","40% (2/5)","8.5","90.01","50% (1/2)"
"GhostFace 3","9.15","0.81","9.15","52.63","0.4","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","9.15","52.63","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"I Don't Know","9.07","0.85","36.27","77.52","0.11","50% (2/4)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","6.42","50","100% (1/1)","7.5","84.52","0% (0/1)","11.18","87.78","50% (1/2)"
"ShortStack","9.03","0.71","72.23","39.43","0.84","63% (5/8)","13.87","52.83","100% (1/1)","0","0","NaN% (0/0)","8.34","37.52","57% (4/7)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Judoku","8.96","0.91","62.71","69.14","0.59","29% (2/7)","2.8","58.18","0% (0/1)","0","0","NaN% (0/0)","10.38","67.16","40% (2/5)","0","0","NaN% (0/0)","8","90","0% (0/1)"
"Twix","8.92","0.83","98.16","76.54","0.35","36% (4/11)","6.9","59.21","100% (1/1)","5.23","67.32","50% (1/2)","6.73","71.29","0% (0/4)","7.5","84.85","0% (0/1)","15.47","92.68","67% (2/3)"
"Bedmate","8.8","0.61","8.8","39.8","1.26","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","8.8","39.8","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"AmogusImpostor","8.71","0.68","60.97","46.5","0.74","43% (3/7)","8.1","51.43","0% (0/1)","0","0","NaN% (0/0)","9.55","40.53","60% (3/5)","5.1","71.43","0% (0/1)","0","0","NaN% (0/0)"
"Yoda","8.7","0.67","8.7","76.62","0.83","0% (0/1)","8.7","76.62","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Viper Metcalf","8.67","1.08","2955.26","69.75","0.61","45% (153/341)","7.28","62.04","29% (24/82)","8.61","75.49","50% (58/117)","9.19","59.97","52% (49/94)","9.57","86.36","43% (10/23)","10.69","89.7","48% (12/25)"
"404","8.56","0.72","188.21","55.45","0.72","27% (6/22)","0","0","NaN% (0/0)","7.3","72.73","0% (0/1)","8.48","49.87","35% (6/17)","3.3","42.86","0% (0/1)","11.13","85.53","0% (0/3)"
"Noahto","8.45","0","42.26","61.82","0.55","0% (0/5)","7.4","43.94","0% (0/1)","6.6","65.57","0% (0/1)","10.38","57.33","0% (0/2)","7.5","84.91","0% (0/1)","0","0","NaN% (0/0)"
"Killjoy","8.4","0.56","8.4","64.29","0.8","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","8.4","64.29","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Gabinator","8.4","0","8.4","48.1","0.45","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","8.4","48.1","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Quickdraw","8.3","1.01","8.3","82.61","0.07","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","8.3","82.61","0% (0/1)"
"Storm","8.28","0","41.4","59.97","0.5","60% (3/5)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","7.47","46.64","33% (1/3)","9.8","77.78","100% (1/1)","9.2","82.14","100% (1/1)"
"Izzy","8.24","0.65","173.11","60.72","0.59","43% (9/21)","7.85","53.47","50% (1/2)","6.4","53.85","100% (1/1)","7.86","48.94","45% (5/11)","6.6","75.92","0% (0/2)","10.26","84.82","40% (2/5)"
"Zoocalahoo","8.2","0","8.2","51.52","0.93","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","8.2","51.52","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Vulcan","8.19","0.76","65.5","59.06","0.6","63% (5/8)","0","0","NaN% (0/0)","9.05","60.52","50% (1/2)","7.12","52.64","60% (3/5)","0","0","NaN% (0/0)","11.8","88.24","100% (1/1)"
"Javelin","7.98","0","55.84","48.9","0.67","71% (5/7)","0","0","NaN% (0/0)","5.2","52.08","100% (2/2)","7.47","39.37","50% (2/4)","0","0","NaN% (0/0)","15.58","80.68","100% (1/1)"
"Kcoyote","7.94","0.61","39.7","50.59","0.49","40% (2/5)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","6.3","31.45","0% (0/3)","0","0","NaN% (0/0)","10.4","79.3","100% (2/2)"
"Sniperider","7.91","0","79.06","63.05","0.51","60% (6/10)","6.2","49.29","25% (1/4)","7.2","61.82","100% (1/1)","9.1","63.47","67% (2/3)","9.88","90.57","100% (2/2)","0","0","NaN% (0/0)"
"The Timinator","7.91","1.2","63.28","65.1","0.73","50% (4/8)","0","0","NaN% (0/0)","3.1","60.78","0% (0/1)","6.6","43.16","67% (2/3)","10.36","73.68","0% (0/1)","10.01","85.62","67% (2/3)"
"Fn2187","7.83","0.66","23.48","48.51","0.53","33% (1/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","7.83","48.51","33% (1/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"CaptainSolo","7.66","0.69","22.99","59.82","0.63","67% (2/3)","0","0","NaN% (0/0)","10.52","50.62","100% (1/1)","5.87","42.86","100% (1/1)","0","0","NaN% (0/0)","6.6","86","0% (0/1)"
"Ruthless","7.63","0.56","53.41","50.69","0.6","71% (5/7)","1.5","45","0% (0/1)","0","0","NaN% (0/0)","9.08","44.9","100% (5/5)","6.5","85.29","0% (0/1)","0","0","NaN% (0/0)"
"Ninja","7.6","1.12","15.2","69.07","0.28","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","4.2","48.15","0% (0/1)","0","0","NaN% (0/0)","11","90","100% (1/1)"
"Bravo 6","7.6","0.56","7.6","54.55","0.47","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","7.6","54.55","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Virus","7.57","0.62","37.85","52.18","0.56","80% (4/5)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","7.57","52.18","80% (4/5)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Oblivion","7.48","3.74","37.4","59.83","0.42","20% (1/5)","6.45","49.92","0% (0/2)","0","0","NaN% (0/0)","5.6","53.73","0% (0/1)","9.45","72.78","50% (1/2)","0","0","NaN% (0/0)"
"Enforcer","7.4","0","7.4","64.06","0.52","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","7.4","64.06","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Spike Pets","7.4","0.6","14.8","39.23","0.3","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","7.4","39.23","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Flash","7.28","0.5","29.1","50.87","0.71","25% (1/4)","13.7","81.9","0% (0/1)","0","0","NaN% (0/0)","5.13","40.52","33% (1/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"MrAmazingness","7.27","0.52","36.37","52.87","0.56","40% (2/5)","7.75","62.29","0% (0/2)","0","0","NaN% (0/0)","6.96","46.59","67% (2/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Sparklez","7.02","0.6","196.57","52.84","0.61","36% (10/28)","6.5","45.26","100% (1/1)","2.9","48.65","0% (0/1)","6.93","36.99","27% (4/15)","6.81","65.51","60% (3/5)","8.2","83.84","33% (2/6)"
"Yamato","7.01","0.67","21.03","39.94","0.48","100% (3/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","7.01","39.94","100% (3/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Wolverine","7","0.65","35","71.19","0.55","40% (2/5)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","5.8","46.07","0% (0/2)","0","0","NaN% (0/0)","7.8","87.93","67% (2/3)"
"FireRocket","6.95","0.53","27.8","51.55","0.51","50% (2/4)","9.9","49.33","0% (0/1)","0","0","NaN% (0/0)","4","33.8","50% (1/2)","0","0","NaN% (0/0)","9.9","89.29","100% (1/1)"
"Reaper","6.9","0.53","117.37","61.2","0.48","47% (8/17)","0","0","NaN% (0/0)","7.03","60.39","86% (6/7)","6.58","50.95","29% (2/7)","6.2","81.82","0% (0/1)","7.95","89.58","0% (0/2)"
"NotNormal","6.8","0.56","646.47","58.75","0.44","41% (39/95)","5.95","48.02","29% (2/7)","4.36","54.9","38% (3/8)","6.32","46.08","50% (26/52)","8.24","86.14","23% (3/13)","8.96","86","33% (5/15)"
"MantisShrimp","6.8","0.45","6.8","88","0.23","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","6.8","88","0% (0/1)","0","0","NaN% (0/0)"
"AtomicGrizzly","6.6","0.68","112.22","48.53","0.41","53% (9/17)","0","0","NaN% (0/0)","4.4","54.29","0% (0/1)","6.44","35.02","58% (7/12)","7.2","91.67","0% (0/1)","7.79","86.27","67% (2/3)"
"ChopperLegs","6.55","0.57","13.1","58.62","0.4","0% (0/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","6.55","58.62","0% (0/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Bdawg.rb","6.48","0","38.9","52.79","0.69","67% (4/6)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","5.98","45.35","60% (3/5)","9","90","100% (1/1)","0","0","NaN% (0/0)"
"Queen B","6.43","0.71","25.7","66.53","0.64","0% (0/4)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","5.9","58.58","0% (0/3)","0","0","NaN% (0/0)","8","90.38","0% (0/1)"
"Tagger","6.3","0.42","12.6","40.67","0.48","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","6.3","40.67","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Shellan","6.2","0.73","18.6","73.56","0.44","0% (0/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","3.35","65.77","0% (0/2)","0","0","NaN% (0/0)","11.9","89.13","0% (0/1)"
"El Diablo","6.17","0.63","18.5","56.96","0.48","0% (0/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","3.8","34.43","0% (0/1)","7.35","68.22","0% (0/2)","0","0","NaN% (0/0)"
"Fleecejocelyn","6.15","0.41","12.3","37.76","0.58","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","6.15","37.76","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Samsalot","6.08","0.55","24.3","35.75","0.62","50% (2/4)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","6.08","35.75","50% (2/4)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Killjoy","6","0.63","6","80","0.7","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","6","80","100% (1/1)"
"Curly","5.9","0.47","11.8","63.08","0.75","0% (0/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","3.2","40","0% (0/1)","0","0","NaN% (0/0)","8.6","86.15","0% (0/1)"
"Ruthless","5.66","0.43","45.3","45.45","0.52","50% (4/8)","5.5","34.67","0% (0/1)","0","0","NaN% (0/0)","5.3","41.53","50% (3/6)","0","0","NaN% (0/0)","8","79.75","100% (1/1)"
"GunnerRunner","5.53","0.4","22.1","40.39","0.72","50% (2/4)","0","0","NaN% (0/0)","3.2","31.54","0% (0/1)","6.3","43.35","67% (2/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Diablo","5.48","0.42","21.9","38.35","0.55","25% (1/4)","8.7","47.32","100% (1/1)","0","0","NaN% (0/0)","4.4","35.36","0% (0/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Flash","5.4","0","21.6","47.82","0.46","25% (1/4)","4.25","47.73","0% (0/2)","0","0","NaN% (0/0)","6.55","47.9","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Vince NA","5.28","0.4","31.67","35.63","0.39","17% (1/6)","5","29.84","0% (0/1)","0","0","NaN% (0/0)","2.78","27.55","0% (0/4)","0","0","NaN% (0/0)","15.57","73.75","100% (1/1)"
"Bee","5.19","0","88.2","38.94","0.45","29% (5/17)","5.4","33.85","0% (0/1)","4.3","38.05","50% (1/2)","4.38","32.16","33% (4/12)","0","0","NaN% (0/0)","10.8","83.02","0% (0/2)"
"Diablo","5.12","0.42","5.12","40","0.26","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","5.12","40","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"T","4.9","0.35","4.9","45.45","0.48","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","4.9","45.45","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Jet","4.75","0.37","9.5","59.48","0.26","0% (0/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0.6","29.63","0% (0/1)","0","0","NaN% (0/0)","8.9","89.33","0% (0/1)"
"Voryn","4.75","0.32","9.5","43.58","0.16","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","4.75","43.58","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"MonkeyMan","4.5","0.38","4.5","54.84","0.26","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","4.5","54.84","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Transformer","4.4","0","4.4","27.5","0.29","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","4.4","27.5","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Venom","4","0.32","4","50","0.32","0% (0/1)","0","0","NaN% (0/0)","4","50","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Taja_Doodles","3.9","0.34","11.7","51.82","0.26","0% (0/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","2.8","37.17","0% (0/2)","0","0","NaN% (0/0)","6.1","81.13","0% (0/1)"
"Lynx","3.75","0","7.5","26.39","0.22","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","3.75","26.39","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"ButchKasidy","3.73","0.28","11.2","44.13","0.16","67% (2/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","3.73","44.13","67% (2/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"TajaDoodles","3.53","0.27","10.6","38.22","0.29","33% (1/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","3.53","38.22","33% (1/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Tap","3.5","0.32","10.5","27.29","0.37","33% (1/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","3.5","27.29","33% (1/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Warlord","3.43","0.24","10.3","31.3","0.51","67% (2/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","3.43","31.3","67% (2/3)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Shroud","3.35","1.25","6.7","26.47","0.55","0% (0/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","3.35","26.47","0% (0/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Bozo","2.9","0.39","2.9","34.78","0.19","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","2.9","34.78","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Goober3490","2.65","0.29","5.3","37.62","0.44","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","2.65","37.62","50% (1/2)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Scorpion","2","0","2","0","0","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","2","0","100% (1/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
"Firefox","0","0","0","0","0","0% (0/1)","0","0","0% (0/1)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)","0","0","NaN% (0/0)"
